id,course_code,campus,year,name,description,credits,is_honours,restrictions,equivalent_string,co-req_string,pre-req_string,courses_in_equivalent_string,courses_in_co-req_string,courses_in_pre-req_string,winter_term_1,winter_term_2,summer_term_1,summer_term_2,duration_terms//,source
c-263,COSC 101,UBCO,2023,Digital Citizenship,"Knowledge and skills to navigate the digital society. Digital participation, digital access, skills and utilization. Digital literacy, computer applications, converging technologies, and online resources. This course does not assume students have any Computer Science background.",3,FALSE,,,,,,,,FALSE,TRUE,FALSE,FALSE,1.//, source
c-264,COSC 111,UBCO,2024,COSC 111 Computer Programming I,"Introduction to the design, implementation, and understanding of computer programs. Topics include problem solving, algorithm design, and data and procedural abstraction, with emphasis on the development of working programs. This course should be followed by COSC 121.",3,FALSE,,,,"A score of 70% or higher in one of PREC 12, MATH 12, MATH 125, MATH 126.",,,"MATH 125,MATH 126",TRUE,TRUE,TRUE,FALSE,1.//,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-265,COSC 121,UBCO,2024,COSC 121 Computer Programming II,Advanced programming in the application of software engineering techniques to the design and implementation of programs manipulating complex data structures.,3,FALSE,,,,"A score of 60% or higher in one of COSC 111, COSC 123.",,,"COSC 111,COSC 123",FALSE,TRUE,FALSE,TRUE,1.//,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-266,COSC 122,UBCO,2023,COSC 122 Computer Fluency,"Introduction to computer skills (electronic communication, websites, Internet, document editing, programming, data analysis using spreadsheets/databases) and concepts (information representation, abstraction, algorithmic thinking). Course objectives are lifelong productivity and understanding of technology in society.",3,FALSE,,,,,,,,TRUE,FALSE,FALSE,FALSE,1.//,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-267,COSC 123,UBCO,2023,COSC 123 Computer Creativity,"A hands-on introduction to programming and computer-based problem solving and creativity. Experience with application development including storytelling, graphics, games, and networking.",3,FALSE,,,,"One of COSC 111, COSC 122.",,,"COSC 111,COSC 122",FALSE,TRUE,FALSE,FALSE,1.//,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-268,COSC 210,UBCO,2023,COSC 210 Software Construction,"Design, and implementation of software components. Data structures, object-oriented design, debugging, testing. Credits will only be granted for one of COSC 210 or COSC 222.",4,FALSE,,,,"One of APSC 177, COSC 111.",,,"APSC 177,COSC 111",FALSE,TRUE,FALSE,FALSE,1.//,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-269,COSC 211,UBCO,2023,COSC 211 Machine Architecture,"Organization and design of computer systems and their impact on the practice of software development. Instruction set architecture and assembly programming languages, design of central processing units (CPU), memory hierarchy and cache organization, input and output programming.",3,FALSE,,,,COSC 121.,,,COSC 121,TRUE,FALSE,FALSE,FALSE,1.//,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-270,COSC 221,UBCO,2024,COSC 221 Introduction to Discrete Structures,"Sets, logic, combinatorics, and graph theory, as applied in computing: sets and propositions, permutations and combinations, graphs and trees, Boolean algebra, algorithms, and applications.",3,FALSE,,,COSC 121.,"One of MATH 101, MATH 103, MATH 142, APSC 173.",,COSC 121,"MATH 101,MATH 103,MATH 142,APSC 173",TRUE,TRUE,FALSE,TRUE,1.//,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-271,COSC 222,UBCO,2024,COSC 222 Data Structures,"Introduction to the design, implementation and analysis of data structures. Topics will include lists, stacks, queues, trees, and graphs. Credit will only be granted for one of COSC 210 or COSC 222.",3,FALSE,,,,A score of 60% or higher in COSC 121.,,,COSC 121,TRUE,FALSE,TRUE,FALSE,1.//,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
c-272,COSC 301,UBCO,2023,COSC 301 Introduction to Data Analytics,"Software development and techniques for computation, analysis, and visualization of data. Manipulation of small and large data sets. Automation using scripting. Credit will be granted for only one of COSC 301, DATA 301 or DATA 501.",3,FALSE,This course is restricted to students in year: >=3,,COSC 304.,(Third-year standing.),,COSC 304,,TRUE,FALSE,FALSE,FALSE,1.//,https://okanagan.calendar.ubc.ca/course-descriptions/subject/cosco
